,Modelo,Hora,Error
0,LSTM,21,1.1687424470407426
1,LSTM,22,0.3369404600263255
2,LSTM,23,0.15062669705205445
3,LSTM,0,0.09483459136382388
4,LSTM,1,0.13065979732799393
5,LSTM,2,0.5630311390178959
6,LSTM,3,0.19334461936000114
7,LSTM,4,0.06688430062941797
8,LSTM,5,0.21859815421461704
9,LSTM,6,0.26402537241580903
10,LSTM,7,0.5754040477987448
11,LSTM,8,0.4753091006949437
12,LSTM,9,0.6379601914355071
13,LSTM,10,0.11708806459343801
14,LSTM,11,0.05222445187078373
15,LSTM,12,0.700700077586109
16,LSTM,13,0.16101611818922223
17,LSTM,14,0.2481477364312603
18,LSTM,15,0.3607987209887613
19,LSTM,16,0.41038727885563353
20,LSTM,17,0.5787842010961948
21,LSTM,18,0.49507982450181354
22,LSTM,19,0.2209144519497268
23,LSTM,20,0.5528261600233733
24,LSTM,21,0.345970202552599
25,LSTM,22,1.1221845887103332
26,LSTM,23,0.614118814015364
27,LSTM,0,0.11179695183852456
28,LSTM,1,0.05563789417313447
29,LSTM,2,0.07229806830871321
30,LSTM,3,0.07043745547275282
31,LSTM,4,0.05418144024054761
32,LSTM,5,0.06500364509394985
33,LSTM,6,0.6048311583271222
34,LSTM,7,0.5195264941123463
35,LSTM,8,0.03829935994729805
36,LSTM,9,0.21853546747360308
37,LSTM,10,0.747022860637717
38,LSTM,11,0.6708147868158407
39,LSTM,12,2.340876161482252
40,LSTM,13,1.0568520780987942
41,LSTM,14,1.9574059615403856
42,LSTM,15,0.9087719232903244
43,LSTM,16,0.40881019559063647
44,LSTM,17,0.43493127016464106
45,LSTM,18,0.6726370466669718
46,LSTM,19,0.7193558596015406
47,LSTM,20,0.44219530949983143
48,LSTM,21,0.13900097184657456
49,LSTM,22,0.05459044990364248
50,LSTM,23,0.18967371365705765
51,LSTM,0,0.30434316813142903
52,LSTM,1,0.23547685907351967
53,LSTM,2,0.28339987977203585
54,LSTM,3,0.10169281933903218
55,LSTM,4,0.22056252533406673
56,LSTM,5,0.22781649001445115
57,LSTM,6,0.33521097761799634
